id,kode_provinsi,nama_provinsi,jumlah_pengeluaran_per_kapita,satuan,tahun
184,3400,D I YOGYAKARTA,12684.24,RIBU RUPIAH,2015
185,3500,JAWA TIMUR,10383.37,RIBU RUPIAH,2015
186,3600,BANTEN,11261.48,RIBU RUPIAH,2015
187,5100,BALI,13078.34,RIBU RUPIAH,2015
188,5200,NUSA TENGGARA BARAT,9241.31,RIBU RUPIAH,2015
189,5300,NUSA TENGGARA TIMUR,7003.35,RIBU RUPIAH,2015
190,6100,KALIMANTAN BARAT,8279.34,RIBU RUPIAH,2015
191,6200,KALIMANTAN TENGAH,9809.46,RIBU RUPIAH,2015
192,6300,KALIMANTAN SELATAN,10890.97,RIBU RUPIAH,2015
193,6400,KALIMANTAN TIMUR,11228.81,RIBU RUPIAH,2015
194,6500,KALIMANTAN UTARA,8353.97,RIBU RUPIAH,2015
195,7100,SULAWESI UTARA,9729.11,RIBU RUPIAH,2015
196,7200,SULAWESI TENGAH,8767.73,RIBU RUPIAH,2015
197,7300,SULAWESI SELATAN,9991.72,RIBU RUPIAH,2015
198,7400,SULAWESI TENGGARA,8697.4,RIBU RUPIAH,2015
199,7500,GORONTALO,9035.12,RIBU RUPIAH,2015
200,7600,SULAWESI BARAT,8259.98,RIBU RUPIAH,2015
201,8100,MALUKU,8025.6,RIBU RUPIAH,2015
202,8200,MALUKU UTARA,7423.3,RIBU RUPIAH,2015
203,9100,PAPUA BARAT,7063.88,RIBU RUPIAH,2015
204,9400,PAPUA,6468.55,RIBU RUPIAH,2015
205,1100,ACEH,8768.0,RIBU RUPIAH,2016
206,1200,SUMATERA UTARA,9744.0,RIBU RUPIAH,2016
207,1300,SUMATERA BARAT,10126.0,RIBU RUPIAH,2016
208,1400,RIAU,10465.0,RIBU RUPIAH,2016
209,1500,JAMBI,9795.0,RIBU RUPIAH,2016
210,1600,SUMATERA SELATAN,9935.0,RIBU RUPIAH,2016
211,1700,BENGKULU,9492.0,RIBU RUPIAH,2016
212,1800,LAMPUNG,9156.0,RIBU RUPIAH,2016
213,1900,KEP. BANGKA BELITUNG,11960.0,RIBU RUPIAH,2016
214,2100,KEPULAUAN RIAU,13359.0,RIBU RUPIAH,2016
215,3100,DKI JAKARTA,17468.0,RIBU RUPIAH,2016
216,3200,JAWA BARAT,10035.0,RIBU RUPIAH,2016
217,3300,JAWA TENGAH,10153.0,RIBU RUPIAH,2016
218,3400,D I YOGYAKARTA,13229.0,RIBU RUPIAH,2016
219,3500,JAWA TIMUR,10715.0,RIBU RUPIAH,2016
